rating,review_text,device,true_label,vader_compound,vader_label,vader_pred_rating,bert_label,bert_score,bert_pred_rating,wc_score,wc_label,wc_pred_rating,hard_vote_label,hard_vote_pred_rating,soft_vote_pred_rating,soft_vote_label,bagging_pred_rating,bagging_pred_std,bagging_label
5,Got it in just look awesome,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.99986469745636,4.99945878982544,1.0,Positive,5.0,Positive,4.5,4.699703515930176,Positive,4.4095247998441405,0.2790992763711792,Positive
5,Finally I got it and love it,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9998812675476074,4.99952507019043,1.0,Positive,5.0,Positive,4.5,4.709330028076172,Positive,4.479284701368538,0.2820084199127641,Positive
5,Awesome product,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998725652694702,4.999490261077881,1.0,Positive,5.0,Positive,4.5,4.699716104431153,Positive,4.576191330298103,0.23270369954912573,Positive
5,Great experience with great camera,iPhone 16,Positive,0.8481,Positive,4.6962,Positive,0.9998769760131836,4.999507904052734,1.0,Positive,5.0,Positive,4.5,4.878283161621094,Positive,4.641728059378114,0.3450638574676706,Positive
5,Govinda kumar,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9980362057685852,4.992144823074341,0.0,Neutral,3.0,Neutral,3.0,3.7968579292297364,Positive,3.9065998709037983,0.16043484145390846,Positive
5,Recently changed a smooth ui and best experience,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9954360127449036,4.981744050979614,1.0,Positive,5.0,Positive,4.5,4.7022176203918455,Positive,4.3878037230113955,0.27900314314419067,Positive
5,Upgraded 12mini Good battery life and performance Ultramarine the best one,iPhone 16,Positive,0.7964,Positive,4.5928,Positive,0.9994381070137024,4.99775242805481,1.0,Positive,5.0,Positive,4.5,4.836220971221924,Positive,4.502651188032294,0.3475224046036136,Positive
5,One of the best phone.,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9998133778572084,4.999253511428833,1.0,Positive,5.0,Positive,4.5,4.709221404571533,Positive,4.492078064849179,0.27758447191699215,Positive
5,"Bought the phone solely for battery performance and assuming camera of iPhones are always good. A bit of disappointment as I switched S22 Plus which offered great screen quality, excellent camera and Galaxy did wonders while iPhone 16 is not performing as expected in terms of battery and camera quality. 1. Touch screen 2. 3. Light weight",iPhone 16,Positive,0.8126,Positive,4.6252,Negative,0.0547457337379455,1.2189829349517822,1.0,Positive,5.0,Positive,4.5,3.337673173980713,Neutral,3.720994339364988,0.39911987734730453,Neutral
5,Mind blowing pictures,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9974422454833984,4.989768981933594,0.0,Neutral,3.0,Neutral,3.0,3.7959075927734376,Positive,3.9471548028508505,0.17112675747506048,Positive
5,received via Flipkart. Everything is perfect about this phone except battery backup. I think need to work on battery,iPhone 16,Positive,0.5719,Positive,4.1438,Positive,0.9926357865333556,4.970543146133423,1.0,Positive,5.0,Positive,4.5,4.645737258453369,Positive,4.443241022660529,0.2483864425769401,Positive
5,Everything is fantastic go for it,iPhone 16,Positive,0.5574,Positive,4.1148,Positive,0.999884843826294,4.999539375305176,1.0,Positive,5.0,Positive,4.5,4.64573575012207,Positive,4.4540938114061515,0.24505197857389116,Positive
5,like it feel premium,iPhone 16,Positive,0.3612,Positive,3.7224,Positive,0.9993189573287964,4.9972758293151855,1.0,Positive,5.0,Positive,4.5,4.487870331726074,Positive,4.3143774042675815,0.17393636832036716,Positive
5,Just wow its worth the price,iPhone 16,Positive,0.6908,Positive,4.3816,Positive,0.99976247549057,4.99904990196228,1.0,Positive,5.0,Positive,4.5,4.752259960784912,Positive,4.4959600753397675,0.30137420524061864,Positive
5,My wife 1st i phone thank you,iPhone 16,Positive,0.3612,Positive,3.7224,Positive,0.9995162487030028,4.998064994812012,0.0,Neutral,3.0,Positive,4.5,4.088185997924805,Positive,4.101878273549717,0.024679795489657496,Positive
4,Battery gets drain in 6-7 hr with even just normal uses. Dont buy this phone. I got frustrated with this issue,iPhone 16,Positive,-0.5267,Negative,1.9466,Negative,0.0008379220962524,1.0033516883850098,-1.0,Negative,1.0,Negative,1.5,1.379980675354004,Negative,2.4843552664575523,1.3526488464557613,Neutral
5,and Bank offer on Flipkart.,iPhone 16,Positive,0.0,Neutral,3.0,Negative,0.0822665095329284,1.329066038131714,0.0,Neutral,3.0,Neutral,3.0,2.331626415252686,Neutral,3.019426614662121,0.878620753311938,Neutral
5,"Upgraded to the 16 12 and it is a great phone. looks and feels sooo good. The photos dont do enough justice to this variant. You definitely do not need to upgrade to this if you are having a 14 or a 15, unless is something that you do not want to live without. Camera is great, though not very sure of the thing, cuz all that is pretty much available on-screen . Also, got a great deal on the exchange and bank offer, so zero co...",iPhone 16,Positive,0.8601,Positive,4.7202,Positive,0.9467346668243408,4.786938667297363,1.0,Positive,5.0,Positive,4.5,4.802855466918945,Positive,4.48386041595163,0.33227041808255753,Positive
5,Awesome product K,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998630285263062,4.999452114105225,1.0,Positive,5.0,Positive,4.5,4.699700845642091,Positive,4.408619875588285,0.28001184598120366,Positive
4,"The design, build quality, battery backup are also good, sound quality is really impressive and Apple brand value, these are the pros in this mobile. 1.The display is not up to the mark, because the refresh rate only supports 60hz and the display is not vibrant. 2. The camera is also not very impressive just okay. 3. File sharing with android or windows literally headache.. 4. Signal reception is lacking.. 5. features are not useful and totally waste.",iPhone 16,Positive,0.6325,Positive,4.265,Negative,0.0006858110427856,1.0027432441711426,0.5,Positive,4.0,Positive,4.5,2.9070972976684573,Neutral,3.352097832247994,0.5934420442323802,Neutral
5,Top notch camera quality and very good performance overall too good without any hesitation go for it,iPhone 16,Positive,0.8275,Positive,4.655,Positive,0.9998074173927308,4.999229669570923,1.0,Positive,5.0,Positive,4.5,4.86169186782837,Positive,4.411701325892735,0.3525606400526909,Positive
5,Love it no complaints!,iPhone 16,Positive,0.775,Positive,4.55,Positive,0.999859094619751,4.999436378479004,1.0,Positive,5.0,Positive,4.5,4.8197745513916015,Positive,4.507895357574225,0.33817623688230536,Positive
5,My mom love the colour and the phone is amazing ajay,iPhone 16,Positive,0.8402,Positive,4.6804,Positive,0.9998515844345092,4.999406337738037,1.0,Positive,5.0,Positive,4.5,4.871922535095215,Positive,4.462979572776981,0.3627905118616595,Positive
5,The display is absolutely crazy and also I can say that the haptics of the phone is super smooth but only concerned is that image editing ai is not good as,iPhone 16,Positive,-0.3623,Negative,2.2754,Negative,0.0005317330360412,1.002126932144165,1.0,Positive,5.0,Negative,1.5,2.311010772857666,Neutral,3.079185239782516,0.9028260711765113,Neutral
5,iPhone 16 is a wonderful cell phone . 48MP camera is outstanding. I bought 256GB model. I would recommend to buy the product.,iPhone 16,Positive,0.8807,Positive,4.7614,Positive,0.9997406601905824,4.998962640762329,1.0,Positive,5.0,Positive,4.5,4.904145056304932,Positive,4.5078925617598795,0.3809599697855419,Positive
5,Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand. Go for Teal colour.,iPhone 16,Positive,0.9022,Positive,4.8044,Positive,0.9996961355209352,4.99878454208374,1.0,Positive,5.0,Positive,4.5,4.921273816833496,Positive,4.577108965393203,0.3884142702987229,Positive
5,Colour is very good also camera placement,iPhone 16,Positive,0.4927,Positive,3.9854,Positive,0.999830961227417,4.999323844909668,1.0,Positive,5.0,Positive,4.5,4.593889537963867,Positive,4.3949971287719105,0.22467440758533447,Positive
5,iPhone 16 is best for those who not buy 15 series. And it has very best hand feel,iPhone 16,Positive,0.9212,Positive,4.8424,Positive,0.9928053021430968,4.971221208572388,1.0,Positive,5.0,Positive,4.5,4.925448483428955,Positive,4.67248413650006,0.36893854621890687,Positive
5,Its a fake details I havent ordered yet But showing I phone,iPhone 16,Positive,-0.2617,Negative,2.4766,Negative,0.0101195573806762,1.040478229522705,-1.0,Negative,1.0,Negative,1.5,1.606831291809082,Negative,3.026838268522889,1.2587570885232,Neutral
5,Best for videography and also good for photos if you are interested in little bit editing . Look and feel of the phone is premium and top notch software experience . Battery backup is good considering the form factor and performance is also superb . Major problem is low refresh rate but I tink those who are going to buy they know it already . Overall a good buy if videography is a pr...,iPhone 16,Positive,0.8878,Positive,4.7756,Positive,0.9979853630065918,4.991941452026367,0.7142857142857143,Positive,4.428571428571429,Positive,4.5,4.792730866524833,Positive,4.508093862112472,0.3213007504796724,Positive
5,Camera 1010 Battery 108 Display 1010 Design 1010 Performance 1010 Finally a in this price segment,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.7818659543991089,4.127463817596436,0.0,Neutral,3.0,Neutral,3.0,3.450985527038575,Neutral,3.7097638749432367,0.330723387522794,Neutral
5,overall a perfect compact phone.,iPhone 16,Positive,0.5719,Positive,4.1438,Positive,0.999756634235382,4.999026536941528,1.0,Positive,5.0,Positive,4.5,4.657130614776611,Positive,4.420126124972156,0.2570357448094109,Positive
5,16. . . . . I 2021 . . . . .,iPhone 16,Positive,0.0,Neutral,3.0,Negative,0.0350744724273681,1.1402978897094729,0.0,Neutral,3.0,Neutral,3.0,2.2561191558837894,Neutral,3.236858579841136,0.9423665545145102,Neutral
5,"This is best quality delivered always. When I was installing my backup , it became very hot during camera operation. But after the software update, gradually it became normal. Now it is working well. I also went to Imagine for a checkup and came to know that this is quite normal. Thats it. I hope after the Apple intelligence update we can have some new features and entertainment windows will open for us Thanks, for delivering with promise and safety",iPhone 16,Positive,0.9807,Positive,4.9614,Positive,0.9993765950202942,4.997506380081177,0.0,Neutral,3.0,Positive,4.5,4.583562552032471,Positive,4.34494515968201,0.22071038477407234,Positive
5,"Amazing device, everything is top notch jayata banerjee",iPhone 16,Positive,0.6808,Positive,4.3616,Positive,0.9998779296875,4.99951171875,1.0,Positive,5.0,Positive,4.5,4.744444687500001,Positive,4.452203802337544,0.3044284226807246,Positive
5,Bad camera quality at this range. Go for samsumg s25,iPhone 16,Positive,-0.5423,Negative,1.9154,Negative,0.0001949667930603,1.0007798671722412,-1.0,Negative,1.0,Negative,1.5,1.3664719468688966,Negative,3.0881842634792944,1.3479905811160353,Neutral
4,"I have switched 6a to iPhone 16 , everything is good but camera is no match to pixel, even with 12 megapixel camera pixel 6a was much better.",iPhone 16,Positive,0.4588,Positive,3.9176,Negative,0.0029756426811218,1.0119025707244873,1.0,Positive,5.0,Positive,4.5,2.971801028289795,Neutral,3.6017785704092105,0.5815878996555466,Neutral
5,Premium experience,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9997678399086,4.999071359634399,1.0,Positive,5.0,Positive,4.5,4.19962854385376,Positive,4.17406162052431,0.03288222453580401,Positive
5,Camera is very good but Im really missing a telephoto lens... However the 2x zoom is really lossless zoom and i loved it 1st time using i os... Switching ...its a bit difficult tusk to adujst yourself from a 120hz display to a 60hz display... But i really like the overall experience of this phone...,iPhone 16,Positive,0.6855,Positive,4.371,Positive,0.9605872631072998,4.842349052429199,1.0,Positive,5.0,Positive,4.5,4.68533962097168,Positive,4.453954923168127,0.27211342268035926,Positive
5,Buy it now everything is good,iPhone 16,Positive,0.4404,Positive,3.8808,Positive,0.9998660087585448,4.99946403503418,1.0,Positive,5.0,Positive,4.5,4.552105614013672,Positive,4.369657128997327,0.20625938402518315,Positive
5,Awesome phone,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998462200164796,4.999384880065918,1.0,Positive,5.0,Positive,4.5,4.699673952026368,Positive,4.373864477527366,0.27757617403125,Positive
5,This phone is really amazing,iPhone 16,Positive,0.624,Positive,4.248,Positive,0.9998595714569092,4.999438285827637,1.0,Positive,5.0,Positive,4.5,4.698975314331055,Positive,4.389927364479666,0.2742219450600449,Positive
5,"iphone is ever good product to buy, but need to improve battery backup also. I think there is no need of camera short cut button, but its good to open in single click, apple intelligence is ok ok feature. Is recommendable product you can buy.",iPhone 16,Positive,0.9319,Positive,4.8638,Positive,0.9996175765991212,4.998470306396484,1.0,Positive,5.0,Positive,4.5,4.944908122558594,Positive,4.624095171300537,0.3930299354307608,Positive
4,Absolutely premium product...just now. Thanks flipkart Im glad such a beautiful iphone 16 too good Loved it,iPhone 16,Positive,0.9485,Positive,4.897,Positive,0.9996469020843506,4.998587608337402,1.0,Positive,5.0,Positive,4.5,4.958235043334961,Positive,4.518221312894038,0.40638435419108526,Positive
5,Amazing purchase,iPhone 16,Positive,0.5859,Positive,4.1718,Positive,0.9998840093612672,4.999536037445068,1.0,Positive,5.0,Positive,4.5,4.668534414978028,Positive,4.460019295630364,0.2556756210993455,Positive
5,Fantastic product..no flaws,iPhone 16,Positive,0.5574,Positive,4.1148,Positive,0.9998503923416138,4.999401569366455,1.0,Positive,5.0,Positive,4.5,4.645680627746582,Positive,4.442981775298633,0.24860408721738048,Positive
5,My first iPhone and its literally amazing although I like its performance and camera my overall experience is very good! Adhayan V,iPhone 16,Positive,0.8685,Positive,4.737,Positive,0.9998644590377808,4.999457836151123,1.0,Positive,5.0,Positive,4.5,4.894583134460449,Positive,4.5625047078090395,0.374888671889059,Positive
4,Good phone like it Ajin B,iPhone 16,Positive,0.6597,Positive,4.3194,Positive,0.9995595812797546,4.9982383251190186,1.0,Positive,5.0,Positive,4.5,4.727055330047607,Positive,4.527055386121959,0.2787790901749953,Positive
5,"great camera, great battery life, overall a good package.",iPhone 16,Positive,0.9022,Positive,4.8044,Positive,0.9998773336410522,4.999509334564209,1.0,Positive,5.0,Positive,4.5,4.921563733825684,Positive,4.513856552435684,0.39197334152723334,Positive
5,"Awesome product. If you are an apple fanboy, go for it. , S",iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998173117637634,4.999269247055054,1.0,Positive,5.0,Positive,4.5,4.699627698822022,Positive,4.454064220695681,0.277374847398152,Positive
5,Amazing camera results and big battery life,iPhone 16,Positive,0.5859,Positive,4.1718,Positive,0.9998486042022704,4.999394416809082,1.0,Positive,5.0,Positive,4.5,4.668477766723633,Positive,4.403953876844816,0.26486246032264826,Positive
5,Amazing camera quality,iPhone 16,Positive,0.5859,Positive,4.1718,Positive,0.9998818635940552,4.999527454376221,1.0,Positive,5.0,Positive,4.5,4.6685309817504885,Positive,4.465516987850129,0.25963008084265965,Positive
5,"Excellent but delivery too late, but I m happy",iPhone 16,Positive,0.8126,Positive,4.6252,Positive,0.99960058927536,4.99840235710144,1.0,Positive,5.0,Positive,4.5,4.849440942840577,Positive,4.58173714713899,0.3420773618690465,Positive
5,Best price on this time Rakesh swami,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9986826777458192,4.994730710983276,1.0,Positive,5.0,Positive,4.5,4.70741228439331,Positive,4.422921288514432,0.2848101972255274,Positive
5,Just go ahead and buy it.,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.99931538105011,4.99726152420044,0.0,Neutral,3.0,Neutral,3.0,3.7989046096801764,Positive,3.940341302631686,0.16675489492833542,Positive
5,Perfect..down to the last .. everything is perfect,iPhone 16,Positive,0.5719,Positive,4.1438,Positive,0.9998844861984252,4.999537944793701,1.0,Positive,5.0,Positive,4.5,4.6573351779174805,Positive,4.408355114895501,0.25946981984456147,Positive
5,Awesome phone as always. Got a good deal on Flipkart,iPhone 16,Positive,0.7906,Positive,4.5812,Positive,0.9997910857200624,4.999164342880249,1.0,Positive,5.0,Positive,4.5,4.8321457371521,Positive,4.570640286573582,0.3342183483758965,Positive
4,No doubt its built quality is unmatched. better to buy an android phone of this range than this one. Android respects your freedom to,iPhone 16,Positive,0.8809,Positive,4.7618,Neutral,0.5131779909133911,3.0527119636535645,0.0,Neutral,3.0,Neutral,3.0,3.7258047854614262,Neutral,3.900206090428101,0.20517927254592164,Positive
5,Switched from 12 mini to iPhone 16 - battery 1010 - camera 1010 - hold and feel 1010 - ios 910 - heavy tasking 810 Should you upgrade?? If you are at iPhone 1213 then you should . From 1415 you will minor improvement changes only !,iPhone 16,Positive,0.565,Positive,4.13,Negative,0.0019457340240478,1.0077829360961914,0.0,Neutral,3.0,Positive,4.5,2.6551131744384766,Neutral,3.3082107419463154,0.7368933837450425,Neutral
5,Md saddam,iPhone 16,Positive,0.0,Neutral,3.0,Negative,0.0035719275474548,1.0142877101898191,0.0,Neutral,3.0,Neutral,3.0,2.205715084075928,Negative,3.250671587318451,0.9645459926916016,Neutral
5,Camera quality is excellent Battery backup is durable Performence is superb as I expected,iPhone 16,Positive,0.8316,Positive,4.6632,Positive,0.999680519104004,4.998722076416016,1.0,Positive,5.0,Positive,4.5,4.8647688305664065,Positive,4.648708272500537,0.33018079690105806,Positive
4,Wonderful product,iPhone 16,Positive,0.5719,Positive,4.1438,Positive,0.9998840093612672,4.999536037445068,1.0,Positive,5.0,Positive,4.5,4.657334414978028,Positive,4.39680515854503,0.26077528050044846,Positive
3,"The model is excellent with 5 stars on all features except two issues. 1. Battery life is really less. 2. Heating issues in the phone Note if you are a iphone plus, pro or pro max users then dont buy only 16 go with next versions or you will be disappointed",iPhone 16,Neutral,0.1531,Positive,3.3062,Negative,0.2192297577857971,1.8769190311431885,-0.3333333333333333,Negative,2.333333333333333,Negative,1.5,2.539914279123942,Neutral,3.4354734572738574,0.7939693312141812,Neutral
5,"Phone is very smooth, battery is far better than 14 which I previously had. 18 is perfectly running with no bugs",iPhone 16,Positive,0.7096,Positive,4.4192,Positive,0.9990247488021852,4.99609899520874,1.0,Positive,5.0,Positive,4.5,4.766119598083496,Positive,4.418380134463238,0.30860044283696925,Positive
5,Super camera resolution battery also super fast charger performance -100 design-camera design super,iPhone 16,Positive,0.9136,Positive,4.8272,Neutral,0.5951253175735474,3.380501270294189,1.0,Positive,5.0,Positive,4.5,4.283080508117676,Positive,4.212121120720489,0.07241142622056991,Positive
5,Awesome only no words to explain,iPhone 16,Positive,0.4404,Positive,3.8808,Negative,0.0428026914596557,1.171210765838623,1.0,Positive,5.0,Positive,4.5,3.020804306335449,Neutral,3.583131214249706,0.5625026517090633,Neutral
5,"First ios ,feeling happy thank u flipkart .",iPhone 16,Positive,0.7717,Positive,4.5434,Positive,0.9997244477272034,4.9988977909088135,1.0,Positive,5.0,Positive,4.5,4.816919116363525,Positive,4.4510472418268145,0.33796101240384996,Positive
5,Performance top notch but App opening time hanging .,iPhone 16,Positive,0.1027,Positive,3.2054,Negative,0.0229811072349548,1.0919244289398191,-1.0,Negative,1.0,Negative,1.5,1.9189297715759277,Negative,2.940927139358803,1.1073941864638839,Neutral
5,Very very nice camera quality I love it,iPhone 16,Positive,0.8211,Positive,4.6422,Positive,0.9998787641525269,4.999515056610107,1.0,Positive,5.0,Positive,4.5,4.856686022644043,Positive,4.556760909034686,0.3526277398754523,Positive
5,Very nice Dileep M C,iPhone 16,Positive,0.4754,Positive,3.9508,Positive,0.9997993111610411,4.999197244644165,1.0,Positive,5.0,Positive,4.5,4.579998897857666,Positive,4.344968920415162,0.21728678886503805,Positive
5,Product is very good and also delivery boys behaviours is very good,iPhone 16,Positive,0.7496,Positive,4.4992,Positive,0.9998038411140442,4.999215364456177,1.0,Positive,5.0,Positive,4.5,4.7993661457824714,Positive,4.521753257386612,0.32641342403969786,Positive
4,Only for brand..but best,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.99464613199234,4.97858452796936,1.0,Positive,5.0,Positive,4.5,4.700953811187745,Positive,4.521109263513002,0.26225325883211553,Positive
5,Thankyou flipkart bbd sale food prize and good Look iPhone 16 Im happy full satisfied,iPhone 16,Positive,0.9136,Positive,4.8272,Positive,0.9995355606079102,4.998142242431641,1.0,Positive,5.0,Positive,4.5,4.930136896972656,Positive,4.567161828182768,0.3934230009907872,Positive
5,60 sanjay kumar saraf,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9923375248908995,4.969350099563599,0.0,Neutral,3.0,Neutral,3.0,3.7877400398254397,Positive,3.964089460813922,0.17691311826782663,Positive
5,Great product,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998695850372314,4.999478340148926,1.0,Positive,5.0,Positive,4.5,4.699711336059571,Positive,4.432025653120349,0.27901090410960977,Positive
5,Nice product worth of money reddy,iPhone 16,Positive,0.5719,Positive,4.1438,Positive,0.9996873140335084,4.998749256134033,1.0,Positive,5.0,Positive,4.5,4.6570197024536135,Positive,4.418403878120806,0.25879425178905396,Positive
5,Value for money.,iPhone 16,Positive,0.34,Positive,3.68,Positive,0.9976842403411864,4.990736961364746,0.0,Neutral,3.0,Positive,4.5,4.068294784545898,Positive,4.103227264653791,0.03901311914338934,Positive
5,My fathers first iphone Colour is awesome and so light in weight It should be available with 256gb Anyways design and camera is awesome,iPhone 16,Positive,0.8481,Positive,4.6962,Positive,0.995636522769928,4.982546091079712,1.0,Positive,5.0,Positive,4.5,4.871498436431885,Positive,4.56513814353472,0.3601730388464614,Positive
5,Overall good performance,iPhone 16,Positive,0.4404,Positive,3.8808,Positive,0.9998573064804076,4.999429225921631,1.0,Positive,5.0,Positive,4.5,4.552091690368652,Positive,4.355723882655821,0.20486235394691593,Positive
4,Awesome product,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998725652694702,4.999490261077881,1.0,Positive,5.0,Positive,4.5,4.699716104431153,Positive,4.476336921707281,0.2737992896743034,Positive
5,battery backup is very good harpreet,iPhone 16,Positive,0.4927,Positive,3.9854,Positive,0.9989173412322998,4.995669364929199,1.0,Positive,5.0,Positive,4.5,4.59242774597168,Positive,4.458052657709987,0.20551098998161302,Positive
5,iPhone 16 battery is awesome,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9997808337211608,4.999123334884644,1.0,Positive,5.0,Positive,4.5,4.699569333953859,Positive,4.443132326909294,0.27806958921512415,Positive
5,Must buy product,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9309013485908508,4.723605394363403,0.0,Neutral,3.0,Neutral,3.0,3.6894421577453618,Neutral,3.8598845696404602,0.21794427700431113,Positive
5,Very handy phone perfect in every aspect ..,iPhone 16,Positive,0.6077,Positive,4.2154,Positive,0.9995880722999572,4.998352289199829,1.0,Positive,5.0,Positive,4.5,4.685500915679932,Positive,4.4578777077467215,0.2677414783646272,Positive
4,On 26 th sep i got this phone . All are good but one thing i noticed that the phone heat up when I open the camera. I didnt know why these thing are happening . While writing this review i only used this phone for 1 hr,iPhone 16,Positive,0.2382,Positive,3.4764,Negative,0.1353847980499267,1.541539192199707,1.0,Positive,5.0,Positive,4.5,3.007175676879883,Neutral,3.595731103511597,0.5656588938750533,Neutral
5,All the features are working fine.,iPhone 16,Positive,0.2023,Positive,3.4046,Positive,0.9998186230659484,4.999274492263794,0.0,Neutral,3.0,Positive,4.5,3.961549796905518,Positive,4.020807281407609,0.08322447955255802,Positive
5,More smoothly then 15,iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9989004135131836,4.995601654052734,0.0,Neutral,3.0,Neutral,3.0,3.798240661621094,Positive,3.9275598914276797,0.1654629149129821,Positive
5,was marvelous except 60 Hz display and battery,iPhone 16,Positive,0.5994,Positive,4.1988,Positive,0.9998371601104736,4.999348640441895,0.0,Neutral,3.0,Positive,4.5,4.279259456176758,Positive,4.2159863304720515,0.06942233835663121,Positive
5,"is Supreme, Display is Awesome, Performance is outstanding, Battery is worst, Display size is very",iPhone 16,Positive,0.8225,Positive,4.645,Positive,0.9986056685447692,4.994422674179077,0.3333333333333333,Positive,3.6666666666666665,Positive,4.5,4.589102403004964,Positive,4.338108362708375,0.22293477081050536,Positive
5,"Nice mugambo khush hua, .",iPhone 16,Positive,0.4215,Positive,3.843,Positive,0.997616410255432,4.9904656410217285,1.0,Positive,5.0,Positive,4.5,4.533386256408692,Positive,4.399620552983226,0.1868040448913409,Positive
5,Such a great and powerful phone,iPhone 16,Positive,0.7845,Positive,4.569,Positive,0.9998196959495544,4.999278783798218,1.0,Positive,5.0,Positive,4.5,4.8273115135192874,Positive,4.566491169044857,0.3333988330345369,Positive
5,with the best camera,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9998462200164796,4.999384880065918,1.0,Positive,5.0,Positive,4.5,4.709273952026367,Positive,4.470249804219882,0.2811796856043767,Positive
5,nice product,iPhone 16,Positive,0.4215,Positive,3.843,Positive,0.9998539686203004,4.999415874481201,1.0,Positive,5.0,Positive,4.5,4.536966349792481,Positive,4.3541798718345,0.1984664364109725,Positive
